242    241    
242    2    
242    243    
243    242    
243    244    
243    227    
244    243    
244    228    
244    245    
245    229    
245    244    
245    246    
246    6    
246    230    
246    245    
247    248    
247    7    
247    231    
248    8    
248    247    
248    249    
249    248    
249    250    
249    9    
250    10    
250    251    
250    249    
251    250    
251    11    
251    235    
252    253    
252    12    
252    236    
253    252    
253    13    
253    237    
254    14    
254    238    
254    255    
255    240    
255    254    
255    15    
240    241    
240    255    
240    0    
241    240    
241    242    
241    1    
2    1    
2    242    
2    3    
3    4    
3    19    
3    2    
4    3    
4    5    
4    20    
5    4    
5    21    
5    6    
6    22    
6    246    
6    5    
7    8    
7    247    
7    23    
8    248    
8    7    
8    9    
9    10    
9    8    
9    249    
10    9    
10    11    
10    250    
11    251    
11    12    
11    10    
12    252    
12    11    
12    13    
13    29    
13    12    
13    253    
14    30    
14    15    
14    254    
15    255    
15    14    
15    0    
0    240    
0    16    
0    15    
1    2    
1    17    
1    241    
18    17    
18    19    
18    34    
19    3    
19    18    
19    35    
20    4    
20    36    
20    21    
21    20    
21    5    
21    22    
22    21    
22    38    
22    6    
23    7    
23    24    
23    39    
24    25    
24    40    
24    23    
25    41    
25    26    
25    24    
26    27    
26    42    
26    25    
27    28    
27    43    
27    26    
28    29    
28    27    
28    44    
29    30    
29    13    
29    28    
30    31    
30    14    
30    29    
31    30    
31    47    
31    16    
16    31    
16    32    
16    0    
17    1    
17    33    
17    18    
34    18    
34    35    
34    50    
35    19    
35    34    
35    36    
36    35    
36    20    
36    37    
37    36    
37    53    
37    38    
38    39    
38    37    
38    22    
39    40    
39    38    
39    23    
40    24    
40    39    
40    41    
41    42    
41    25    
41    40    
42    43    
42    41    
42    26    
43    59    
43    27    
43    42    
44    28    
44    60    
44    45    
45    61    
45    46    
45    44    
46    45    
46    47    
46    62    
47    32    
47    31    
47    46    
32    16    
32    33    
32    47    
33    49    
33    32    
33    17    
50    34    
50    51    
50    66    
51    50    
51    52    
51    67    
52    51    
52    53    
52    68    
53    37    
53    54    
53    52    
54    55    
54    53    
54    70    
55    71    
55    54    
55    56    
56    57    
56    55    
56    72    
57    73    
57    58    
57    56    
58    57    
58    74    
58    59    
59    43    
59    75    
59    58    
60    61    
60    44    
60    76    
61    62    
61    60    
61    45    
62    63    
62    46    
62    61    
63    62    
63    48    
63    79    
48    49    
48    63    
48    64    
49    33    
49    65    
49    48    
66    50    
66    67    
66    82    
67    51    
67    68    
67    66    
68    52    
68    69    
68    67    
69    85    
69    68    
69    70    
70    86    
70    69    
70    54    
71    55    
